2025-08-10 06:44:21,859 - Rank 6 - Starting training on rank 6
2025-08-10 06:58:59,601 - Rank 6 - Starting training
2025-08-10 11:15:48,568 - Rank 6 - Validation Loss: 0.3754, Validation Accuracy: 0.8446
2025-08-10 11:17:46,065 - Rank 6 - Train Loss: 0.4208, Train Accuracy: 0.8280
2025-08-10 11:17:56,589 - Rank 6 - Validation Loss: 0.3756, Validation Accuracy: 0.8446
2025-08-10 11:19:52,938 - Rank 6 - Train Loss: 0.4219, Train Accuracy: 0.8276
2025-08-10 11:20:03,783 - Rank 6 - Validation Loss: 0.3720, Validation Accuracy: 0.8460
2025-08-10 11:22:01,432 - Rank 6 - Train Loss: 0.4196, Train Accuracy: 0.8288
2025-08-10 11:22:11,681 - Rank 6 - Validation Loss: 0.3700, Validation Accuracy: 0.8464
2025-08-10 11:23:59,945 - Rank 6 - Train Loss: 0.4197, Train Accuracy: 0.8281
2025-08-10 11:24:10,281 - Rank 6 - Validation Loss: 0.3733, Validation Accuracy: 0.8453
2025-08-10 11:26:07,495 - Rank 6 - Train Loss: 0.4178, Train Accuracy: 0.8288
2025-08-10 11:26:18,438 - Rank 6 - Validation Loss: 0.3667, Validation Accuracy: 0.8475
2025-08-10 11:28:20,804 - Rank 6 - Train Loss: 0.4154, Train Accuracy: 0.8299
2025-08-10 11:28:31,223 - Rank 6 - Validation Loss: 0.3669, Validation Accuracy: 0.8478
2025-08-10 11:31:19,144 - Rank 6 - Train Loss: 0.4140, Train Accuracy: 0.8302
2025-08-10 11:31:29,116 - Rank 6 - Validation Loss: 0.3672, Validation Accuracy: 0.8472
2025-08-10 11:34:09,316 - Rank 6 - Train Loss: 0.4120, Train Accuracy: 0.8310
2025-08-10 11:34:19,546 - Rank 6 - Validation Loss: 0.3679, Validation Accuracy: 0.8473
2025-08-10 11:37:02,023 - Rank 6 - Train Loss: 0.4112, Train Accuracy: 0.8313
2025-08-10 11:37:12,390 - Rank 6 - Validation Loss: 0.3645, Validation Accuracy: 0.8486
2025-08-10 11:39:22,952 - Rank 6 - Train Loss: 0.4101, Train Accuracy: 0.8320
2025-08-10 11:39:33,686 - Rank 6 - Validation Loss: 0.3625, Validation Accuracy: 0.8489
2025-08-10 11:41:30,258 - Rank 6 - Train Loss: 0.4080, Train Accuracy: 0.8327
2025-08-10 11:41:40,958 - Rank 6 - Validation Loss: 0.3642, Validation Accuracy: 0.8487
2025-08-10 11:43:38,524 - Rank 6 - Train Loss: 0.4077, Train Accuracy: 0.8325
2025-08-10 11:43:49,008 - Rank 6 - Validation Loss: 0.3622, Validation Accuracy: 0.8489
2025-08-10 11:45:45,405 - Rank 6 - Train Loss: 0.4072, Train Accuracy: 0.8326
2025-08-10 11:45:55,598 - Rank 6 - Validation Loss: 0.3638, Validation Accuracy: 0.8482
2025-08-10 11:47:51,843 - Rank 6 - Train Loss: 0.4061, Train Accuracy: 0.8330
2025-08-10 11:48:02,395 - Rank 6 - Validation Loss: 0.3595, Validation Accuracy: 0.8501
2025-08-10 11:50:02,578 - Rank 6 - Train Loss: 0.4017, Train Accuracy: 0.8345
2025-08-10 11:50:13,353 - Rank 6 - Validation Loss: 0.3582, Validation Accuracy: 0.8506
2025-08-10 11:52:15,861 - Rank 6 - Train Loss: 0.4024, Train Accuracy: 0.8341
2025-08-10 11:52:25,383 - Rank 6 - Validation Loss: 0.3603, Validation Accuracy: 0.8501
2025-08-10 11:54:17,728 - Rank 6 - Train Loss: 0.4011, Train Accuracy: 0.8347
2025-08-10 11:54:28,222 - Rank 6 - Validation Loss: 0.3568, Validation Accuracy: 0.8511
2025-08-10 11:56:25,717 - Rank 6 - Train Loss: 0.3990, Train Accuracy: 0.8361
2025-08-10 11:56:35,778 - Rank 6 - Validation Loss: 0.3573, Validation Accuracy: 0.8512
2025-08-10 11:58:33,453 - Rank 6 - Train Loss: 0.3985, Train Accuracy: 0.8359
2025-08-10 11:58:43,680 - Rank 6 - Validation Loss: 0.3548, Validation Accuracy: 0.8519
2025-08-10 12:00:40,642 - Rank 6 - Train Loss: 0.3965, Train Accuracy: 0.8367
2025-08-10 12:00:51,007 - Rank 6 - Validation Loss: 0.3518, Validation Accuracy: 0.8528
2025-08-10 12:02:47,798 - Rank 6 - Train Loss: 0.3955, Train Accuracy: 0.8368
2025-08-10 12:02:57,791 - Rank 6 - Validation Loss: 0.3520, Validation Accuracy: 0.8529
2025-08-10 12:04:54,844 - Rank 6 - Train Loss: 0.3947, Train Accuracy: 0.8373
2025-08-10 12:05:05,461 - Rank 6 - Validation Loss: 0.3517, Validation Accuracy: 0.8530
2025-08-10 12:07:00,163 - Rank 6 - Train Loss: 0.3931, Train Accuracy: 0.8375
2025-08-10 12:07:09,434 - Rank 6 - Validation Loss: 0.3485, Validation Accuracy: 0.8541
2025-08-10 12:09:01,051 - Rank 6 - Train Loss: 0.3916, Train Accuracy: 0.8383
2025-08-10 12:09:11,210 - Rank 6 - Validation Loss: 0.3482, Validation Accuracy: 0.8544
2025-08-10 12:11:06,108 - Rank 6 - Train Loss: 0.3912, Train Accuracy: 0.8382
2025-08-10 12:11:16,917 - Rank 6 - Validation Loss: 0.3479, Validation Accuracy: 0.8542
2025-08-10 12:13:13,328 - Rank 6 - Train Loss: 0.3894, Train Accuracy: 0.8390
